	Team	Unnamed: 0	tsRanking	teamNumber	teamName	eventRegion	locCountry	trueskill	ccwm	opr	dpr	MiddleSchoolRank
0	14Y	2253.0	2254.0	14Y	Skywalker Squirrels	Virginia	United States	20.8	6.7	39.8	33.1	499.0
1	80A	1060.0	1060.0	80A	VEXMEN: Armageddon	Pennsylvania - East	United States	22.5	11.8	45.1	33.4	195.0
2	283H	1616.0	1613.0	283H	The Nutty Robots	Nevada	United States	21.6	-2.6	46.3	48.8	331.0
3	355P	2341.0	2338.0	355P	Vorombe Titans	Illinois	United States	20.7	3.8	51.3	47.5	527.0
4	457F	901.0	897.0	457F	Fruit Foundation	Michigan	United States	22.8	16.0	46.7	30.6	146.0
5	650C	3491.0	3483.0	650C	Captains	Kentucky	United States	19.4	-15.8	40.9	56.7	897.0
6	892Y	1937.0	1924.0	892Y	Scuffed Robotics	California - Region 4	United States	21.2	-5.6	39.6	45.2	424.0
7	955N	4729.0	4718.0	955N	Checkmate	New York-South	United States	18.2	-10.6	33.6	44.2	1280.0
8	1096B	6440.0	6432.0	1096B	Techno Panthers	Arizona	United States	16.5	-8.1	36.9	45.0	1797.0
9	1231F	5570.0	5562.0	1231F	Flappy Fliers	Virginia	United States	17.4	-4.9	38.6	43.5	1553.0
10	1281B	2262.0	2254.0	1281B	Radiant V1SE	California - Region 4	United States	20.8	4.6	43.6	38.9	508.0
11	1481E	1347.0	1337.0	1481E	Golden Hawks	Virginia	United States	22.0	19.2	55.4	36.2	270.0
12	1737K	3498.0	3483.0	1737K	Şaiqas	Kazakhstan	Kazakhstan	19.4	20.5	52.5	32.0	898.0
13	1831E	1850.0	1835.0	1831E	King's Team Echo	Australia	Australia	21.3	14.9	59.6	44.7	389.0
14	2011Z	71.0	68.0	2011Z	Zenith	Ohio	United States	26.3	34.2	66.6	32.3	7.0
15	2252R	1295.0	1283.0	2252R	CIMATEC	Puerto Rico	Puerto Rico	22.1	3.0	45.0	42.0	250.0
16	2627E	142.0	139.0	2627E	Demotorized	Arizona	United States	25.7	32.1	62.0	29.9	18.0
17	2899A	275.0	273.0	2899A	Shooting Stars	California - Region 4	United States	24.8	28.9	69.0	40.2	35.0
18	3219A	79.0	76.0	3219A	Shanghai RuiGuan Team 3219A	China	China	26.2	35.5	81.3	45.8	9.0
19	3219A	79.0	76.0	3219A	Shanghai RuiGuan Team 3219A	China	China	26.2	35.5	81.3	45.8	9.0
20	3324W	813.0	799.0	3324W	Supernova Infinity	California - Region 4	United States	23.0	5.6	45.5	39.9	116.0
21	3555C	1358.0	1337.0	3555C	Hey cutie pies  ಠwಠ	Chinese Taipei	Taiwan	22.0	-3.6	45.7	49.3	268.0
22	4073B	1857.0	1835.0	4073B	VEX JETS	California - Region 3	United States	21.3	17.8	49.7	31.9	392.0
23	4413A	2122.0	2100.0	4413A	WZ-A	China	China	21.0	8.1	60.7	52.6	465.0
24	4613P	1713.0	1688.0	4613P	Barker Pinkbacks	Australia	Australia	21.5	1.4	42.2	40.8	352.0
