	index	TeamId	TeamNumber	TeamName	Max_Driver_Skill	Max_Programming_Skill
0	0	63419	14Z	Happy Oven Mitts	73	43
1	1	139683	46V	Venom	164	156
2	2	139720	106A	Brain Deads	156	119
3	3	139613	315D	Paradigm	175	101
4	4	84501	388A	瑞卜德 388A	227	243
5	5	84274	467A	'Til The End	106	77
6	6	130544	663T	Manual Transmission	121	42
7	7	140014	792G	Thursday Frogs	112	54
8	8	122798	884A	Space Pandas	161	114
9	9	123981	938X	Blaze Robotics Qubits	197	162
10	0	57081	1032B	Not Enough Time	128	75
11	1	145407	1247B	KitFingers	61	37
12	2	108899	1304X	Flying Solo	92	62
13	3	19582	1481E	Golden Hawks	102	53
14	4	145730	1737Y	Blue Ribbon	142	118
15	5	151215	2088D	Sabotage	81	45
16	6	35815	2463A	Golden Hawks Intermediate	138	24
17	7	11494	2775A	Jackson Area Robotics	71	64
18	8	128979	3168X	Rubixcoders	105	86
19	9	140300	3324U	Supernova Hydra	179	91
20	0	85196	3333X	X-treme Bot	82	57
21	1	49671	4073G	VEX JETS	48	0
22	2	79132	4275B	CCK-2	145	44
23	3	124165	4610Y	Flakey Celery	93	23
24	4	93904	5156G	Insert Text Here	86	31
25	5	51616	6047C	Chaos and Confusion	110	53
26	6	131545	6047C	Cereal Killers	N/A	N/A
27	7	67328	6199D	WiredCats D	61	31
28	8	56222	6446C	Royal Robotics 6446C	92	12
29	9	115851	7192F	The Masked Bandits	137	61
30	10	130350	7481C	CobraBots	92	35
31	0	87081	7690W	7690W - FJH Stumble Guys	73	15
32	1	44569	7830A	ACP Noble Knights	116	59
33	2	114310	7831F	That's No Moon, It's a Flexwheel!	42	6
34	3	54058	8686G	Gorrillas	123	63
35	4	123898	8686G	The Aliens	N/A	N/A
36	5	57708	8781A	OK Robotics	80	22
37	6	139938	9039Y	Kraken	76	40
38	7	105778	9123X	Shanghai RuiGuan Team 9123X	93	9
39	8	52942	9447A	RoboPhoenixes	99	65
40	9	75328	10001C	Sponge Bot Spare Parts	87	38
41	10	112613	10012Y	Ten Ton Robotics	158	90
42	0	71276	10173Z	HBS Spark	69	19
43	1	139804	11045A	UnderBot	155	159
44	2	145080	13460X	SE Mecharauders	109	48
45	3	126948	14791R	vexer flexer	97	0
46	4	113861	16699Y	Overclock MS	169	165
47	5	140882	18000J	Iron Patriots - Jack Jack	84	41
48	6	131470	19291Z	Mom's Favorite	111	52
49	7	145010	20196A	Spiky Dinos	115	50
50	8	135718	20785Z	Typhoon	137	45
51	9	149764	23612T	Cycle	72	22
52	0	111415	25900A	Allison Aces	95	0
53	1	132795	27457A	TRUMAN VEX	22	0
54	2	139942	27457A	T-VEX	N/A	N/A
55	3	110030	29651F	Just Hack It	87	55
56	4	144536	33705A	LA Matrix	74	36
57	5	148992	33705A	33705A	N/A	N/A
58	6	110138	37816C	Sweet & Salty	85	41
59	7	100291	39702F	New Hope Robotics	117	62
60	8	147790	45009V	The Water Dragons	39	6
61	9	122839	48884A	Gear Grinders	120	85
62	10	98850	52800B	Crispy Fried Chicken	65	32
63	11	72046	56772A	St. Mary Robotics	121	76
64	0	93618	61170J	Tiger Kappa	68	9
65	1	90337	61538B	Bandits	111	65
66	2	72369	63724B	University School Sharks Robotics	108	62
67	3	143905	66465F	Steel Devils VI	118	77
68	4	114710	69414Z	KLK Canes	112	59
69	5	101903	71300D	Jont	103	85
70	6	133870	71678B	TPCS Galahad	88	83
71	7	113389	73352C	Aces	59	16
72	8	107635	74177A	Metal Benders	89	12
73	9	133342	75442X	X-Factor	122	95
74	0	139812	77701A	『      』	157	101
75	1	130100	78759D	Storm Bots	132	108
76	2	135523	79298J	Crazy Aces	95	57
77	3	152178	81011W	SUPER BEAR	202	0
78	4	84181	84927A	Short Circuit	106	55
79	5	107477	88825B	Artemis	213	223
80	6	105021	89878D	Dream Team	72	39
81	7	132456	93303R	The NPCs	62	26
82	8	71289	97310A	Andrometa	107	104
83	9	139043	98992A	Ankle Assassins	133	102
84	0	139632	99116Y	Probotics	163	48
85	1	65700	99656A	Barnetuckee	122	92
