	id	number	team_name	robot_name	organization	location	registered	program	grade
0	115977	C1000A	GirlsinSTEM	Insider	singapore 	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'singapore', 'region': None, 'postcode': '589639', 'country': 'Singapore', 'coordinates': {'lat': 1.3, 'lon': 103.8}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
1	115692	C1004A	GC	GC	喬智創意機器人研究室	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Yunlin', 'region': None, 'postcode': '640', 'country': 'Taiwan', 'coordinates': {'lat': 23.7, 'lon': 120.5}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
2	116094	C1005A	sdfsdfsdf	trytryrt		{'venue': None, 'address_1': '', 'address_2': None, 'city': 'istanbul', 'region': None, 'postcode': '34000', 'country': 'Türkiye', 'coordinates': {'lat': 41, 'lon': 29}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
3	117063	C1015A	AFMS Robotics	Quick Silver	APEX FRIENDSHIP MIDDLE	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Apex', 'region': 'North Carolina', 'postcode': '27502', 'country': 'United States', 'coordinates': {'lat': 35.7, 'lon': -78.9}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
4	118316	C1018A	Reston Techies	Sky	Neigborhood and Community Services	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Fairfax', 'region': 'Virginia', 'postcode': '22035', 'country': 'United States', 'coordinates': {'lat': 38.9, 'lon': -77.4}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
5	118487	C1019A	Phoenix High School Robotics	EDR	PHOENIX HIGH SCHOOL	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Braithwaite', 'region': 'Louisiana', 'postcode': '70040', 'country': 'United States', 'coordinates': {'lat': 29.6, 'lon': -89.9}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
6	118488	C1019B	Phoenix High School Robotics	EDR	PHOENIX HIGH SCHOOL	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Braithwaite', 'region': 'Louisiana', 'postcode': '70040', 'country': 'United States', 'coordinates': {'lat': 29.6, 'lon': -89.9}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
7	117123	C1021A	Robo Raiders		McClintock Middle School	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Charlotte', 'region': 'North Carolina', 'postcode': '28212', 'country': 'United States', 'coordinates': {'lat': 35.2, 'lon': -80.8}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
8	117126	C1021B	The Mighty Ducks		McClintock Middle School	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Charlotte', 'region': 'North Carolina', 'postcode': '28212', 'country': 'United States', 'coordinates': {'lat': 35.2, 'lon': -80.8}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
9	119483	C1037A	Night Howlers	Howling	HAMPTON HIGH SCHOOL	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Hampton', 'region': 'Nebraska', 'postcode': '68843', 'country': 'United States', 'coordinates': {'lat': 40.9, 'lon': -97.9}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
10	121530	C1055A	O Brennan Boys 	Robbie the Robot	O Brennan National School 	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Tralee', 'region': None, 'postcode': 'V92 X3KN', 'country': 'Ireland', 'coordinates': {'lat': 52.3, 'lon': -9.6}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
11	121087	C1056A	DvaEgora		school 1542	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'Moscow', 'region': None, 'postcode': '119192', 'country': 'Russia', 'coordinates': {'lat': 55.6, 'lon': 37.4}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
12	106625	C1353A	Family Chen A		CARE 	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'shanghai', 'region': 'Shanghai', 'postcode': '200000', 'country': 'China', 'coordinates': {'lat': 31.2, 'lon': 121.5}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
13	106626	C1353B	Family Chen B		CARE	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'shanghai', 'region': 'Shanghai', 'postcode': '200000', 'country': 'China', 'coordinates': {'lat': 31.2, 'lon': 121.5}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
14	120098	C1353G	Family Chen G		CARE 	{'venue': None, 'address_1': '', 'address_2': None, 'city': 'shanghai', 'region': 'Shanxi', 'postcode': '200000', 'country': 'China', 'coordinates': {'lat': 31.2, 'lon': 121.5}}	True	{'id': 40, 'name': 'CREATE Foundation', 'code': 'CREATE'}	Middle School
